suite A: 9450 fights, 2 workers, version 0.6.0
  200/9450 (7s)
  400/9450 (17s)
  600/9450 (26s)
  800/9450 (35s)
  1000/9450 (46s)
  1200/9450 (52s)
  1400/9450 (59s)
  1600/9450 (67s)
  1800/9450 (74s)
  2000/9450 (84s)
  2200/9450 (95s)
  2400/9450 (110s)
  2600/9450 (127s)
  2800/9450 (138s)
  3000/9450 (153s)
  3200/9450 (164s)
  3400/9450 (168s)
  3600/9450 (174s)
  3800/9450 (181s)
  4000/9450 (187s)
  4200/9450 (196s)
  4400/9450 (200s)
  4600/9450 (205s)
  4800/9450 (210s)
  5000/9450 (215s)
  5200/9450 (222s)
  5400/9450 (228s)
  5600/9450 (235s)
  5800/9450 (246s)
  6000/9450 (255s)
  6200/9450 (267s)
  6400/9450 (276s)
  6600/9450 (280s)
  6800/9450 (285s)
  7000/9450 (290s)
  7200/9450 (295s)
  7400/9450 (302s)
  7600/9450 (304s)
  7800/9450 (308s)
  8000/9450 (311s)
  8200/9450 (315s)
  8400/9450 (320s)
  8600/9450 (322s)
  8800/9450 (327s)
  9000/9450 (333s)
  9200/9450 (337s)
  9400/9450 (343s)
done 9450 fights, errors 0, 345s → /home/user/CosBridge.github.io/prophecy_action_prototype/docs/sim/raw_A.jsonl.gz
