# 회차 시뮬레이션 [T03_blades] (v0.8.0, 봇 balanced, 배치 classic, 난이도 base, 시작 무기 blades, 회차 구조 trio, 처치 경험치 ×1, 지역 경험치 ×1, 보스 체력 base)

전략 3종 × 시드 1,2,3,4,5 × 경험치 곡선 v06. 봇 결과는 정책 비교용이며 사람의 체감 플레이타임·재미와 다르다.

시간 계정(검수 수정 후): 시뮬레이션된 시간 = 전투 + 보스(고정 단계 시계). 가정한 메뉴 시간 = 카드 1장 6초(전투 중 레벨업·지역 3택 포함, 실제 발생 시점에 기록) + 조우 전후 화면 25초 + 하루 종료 10초 + 휴식 5초. 합계는 보스전까지 포함해 마지막에 한 번만 더한다. 시간 초과(봇이 조우 240초/보스 300초 안에 못 끝냄)는 패배와 별도 열. 조우 생성·정산·3택은 게임과 같은 PA.Flow 경로(더 깊이 지역 3택 포함).

## 경험치 곡선 v06 (필요치 20+5k+0.1k², 지역 처치 경험치 배율 1/1.5/2/2.5/3)

| 전략 | 시드 | 레벨 | 레벨업/일 | 조우(패배/초과) | 휴식 | 더깊이(3택) | 임무(3택) | 사건(전투) | 카드(전투중) | 전투분 | 카드분 | 메뉴분(가정) | 보스분 | 합계분 | 무기2/무기3/E 시점(초) | 금화 | 보스 |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 점차 위험 지역으로 | 1 | 18 | 3/3/3/2/2/4 | 20(0/0) | 0 | 0(0) | 0(0) | 9(0) | 19(15) | 8.6 | 1.9 | 12.4 | 1.7 | 22.8 | 309/387/183 | 105 | boss:won@31s guardian:won@32s eater:won@38s |
| 점차 위험 지역으로 | 2 | 19 | 3/3/3/2/3/4 | 20(0/0) | 0 | 0(0) | 0(0) | 13(0) | 20(15) | 7.6 | 2 | 13.1 | 2 | 22.7 | 85/246/310 | 72 | boss:won@32s guardian:won@43s eater:won@46s |
| 점차 위험 지역으로 | 3 | 18 | 3/3/3/2/2/4 | 19(0/0) | 0 | 0(0) | 0(0) | 9(0) | 19(14) | 7.6 | 1.9 | 12 | 2.6 | 22.3 | 89/160/333 | 93 | boss:won@38s guardian:won@57s eater:won@63s |
| 점차 위험 지역으로 | 4 | 18 | 3/3/3/2/2/4 | 20(0/0) | 0 | 0(0) | 0(0) | 10(0) | 19(14) | 9.3 | 1.9 | 12.6 | 2.5 | 24.4 | 97/177/352 | 141 | boss:won@43s guardian:won@72s eater:won@38s |
| 점차 위험 지역으로 | 5 | 20 | 3/3/4/3/2/4 | 20(0/0) | 0 | 0(0) | 0(0) | 12(0) | 21(15) | 8.4 | 2.1 | 13 | 2.9 | 24.3 | 85/166/269 | 45 | boss:won@47s guardian:won@66s eater:won@63s |
| 위험 임무 우선 | 1 | 18 | 3/3/3/1/3/4 | 18(0/0) | 0 | 0(0) | 18(2) | 12(0) | 21(13) | 7.5 | 2.1 | 12.2 | 2.1 | 21.8 | 309/403/183 | 97 | boss:won@36s guardian:won@41s eater:won@49s |
| 위험 임무 우선 | 2 | 17 | 3/2/3/1/2/4 | 19(0/0) | 0 | 0(0) | 17(0) | 12(0) | 18(12) | 7.6 | 1.8 | 12.3 | 1.9 | 21.8 | 85/246/328 | 195 | boss:won@33s guardian:won@40s eater:won@39s |
| 위험 임무 우선 | 3 | 17 | 3/2/4/1/3/2 | 18(0/0) | 0 | 0(0) | 16(2) | 9(0) | 20(14) | 6.9 | 2 | 11.7 | 2.3 | 20.8 | 89/160/328 | 108 | boss:won@39s guardian:won@46s eater:won@51s |
| 위험 임무 우선 | 4 | 17 | 3/3/3/1/2/4 | 19(0/0) | 0 | 0(0) | 17(2) | 9(0) | 20(12) | 8.3 | 2 | 12.1 | 1.8 | 22.2 | 97/177/378 | 137 | boss:won@25s guardian:won@52s eater:won@32s |
| 위험 임무 우선 | 5 | 19 | 3/3/3/1/3/4 | 19(0/0) | 0 | 0(0) | 17(2) | 9(0) | 22(15) | 7.8 | 2.2 | 12.3 | 4.1 | 24.2 | 85/166/269 | 207 | boss:won@59s guardian:won@102s eater:won@86s |
| 빌드 맞춤 보상 선택 | 1 | 18 | 3/3/3/1/3/4 | 18(1/0) | 0 | 0(0) | 18(2) | 12(0) | 21(12) | 11.8 | 2.1 | 12.2 | 3.2 | 27.2 | 834/945/1054 | 66 | boss:won@63s guardian:won@58s eater:won@72s |
| 빌드 맞춤 보상 선택 | 2 | 17 | 3/2/4/1/2/4 | 18(0/0) | 1 | 0(0) | 16(0) | 10(0) | 18(12) | 8.2 | 1.8 | 11.7 | 3.5 | 23.4 | 85/307/556 | 173 | boss:won@52s guardian:won@92s eater:won@65s |
| 빌드 맞춤 보상 선택 | 3 | 17 | 3/2/4/1/3/3 | 17(0/0) | 1 | 0(0) | 15(2) | 10(0) | 20(14) | 8.2 | 2 | 11.5 | 4.3 | 23.9 | 516/630/848 | 153 | boss:won@58s guardian:won@82s eater:won@117s |
| 빌드 맞춤 보상 선택 | 4 | 17 | 3/3/3/1/2/4 | 19(0/0) | 0 | 0(0) | 17(2) | 9(0) | 20(14) | 8.6 | 2 | 12.1 | 1.6 | 22.3 | 194/387/614 | 227 | boss:won@24s guardian:won@40s eater:won@31s |
| 빌드 맞춤 보상 선택 | 5 | 19 | 3/3/3/1/4/4 | 19(0/0) | 0 | 0(0) | 17(2) | 9(0) | 22(16) | 6.9 | 2.2 | 12.3 | 2 | 21.2 | 179/353/594 | 234 | boss:won@30s guardian:won@46s eater:won@43s |

성장·전투 지표(곡선 v06): 전투력 선택 = 무기/공통/기술/패시브 선택 수, 서비스 = 거점 서비스 선택, 사망전 처치% = 첫 공격을 실행하기 전에 죽은 적 비율, 실행/스폰 = 적 1마리당 실행한 공격 수

| 전략 | 레벨업 | 전투력 선택 | 임무 3택 | 더깊이 3택 | 사건 선택 | 희귀 선택 | 서비스 | 건너뜀 | 선택 간격 평균/중앙(초) | 첫 선택(초) | 무기2/무기3/E(초) | 사망전 처치% | 실행/스폰 | 받은 피해(조우) | 받은 피해(보스) | 휴식 | 보스 패턴(시작 횟수) |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 점차 위험 지역으로 | 17.6 | 17.6 | 0 | 0 | 10.6 | 2 | 0 | 0 | 64.4/64.4 | 90 | 133/227.2/289.4 | 19 | 1.3 | 121.8 | 8.2 | 0 | boss:dash 3.6, boss:howl 1.8, boss:sweep 3.8, eater:lanes 3.2, eater:mark 3.2, eater:summon 1, eater:wide 2.4, guardian:shock 8.2, guardian:sweep 6.4 |
| 위험 임무 우선 | 16.6 | 16.6 | 1.6 | 0 | 10.2 | 2 | 1.6 | 0 | 61.2/56.2 | 90 | 133/230.4/297.2 | 15.2 | 1.6 | 140 | 4.2 | 0 | boss:dash 3, boss:howl 2, boss:sweep 4.8, eater:lanes 4.2, eater:mark 2, eater:summon 1.6, eater:wide 3, guardian:shock 8.2, guardian:sweep 6.6 |
| 빌드 맞춤 보상 선택 | 16.6 | 16.6 | 1.6 | 0 | 10 | 2 | 1.6 | 0 | 64.6/58.8 | 90 | 361.6/524.4/733.2 | 13.8 | 1.9 | 189.2 | 21.2 | 0.4 | boss:dash 3.8, boss:howl 2.2, boss:sweep 5.8, eater:lanes 3.8, eater:mark 4.4, eater:summon 1.6, eater:wide 3.4, guardian:shock 8.6, guardian:sweep 7.8 |

전략별 평균(곡선 v06):

| 전략 | 레벨 | 1일차 레벨업 | 1일차 비중% | 조우 | 패배 | 초과 | 휴식 | 더깊이 3택 | 임무 | 사건 | 전투분 | 보스분 | 메뉴분(가정) | 합계분 | 금화 | 완주 | 보스 총초 |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 점차 위험 지역으로 | 18.6 | 3 | 17 | 19.8 | 0 | 0 | 0 | 0 | 0 | 10.6 | 8.3 | 2.3 | 12.6 | 23.3 | 91.2 | 5/5 | 141.8 |
| 위험 임무 우선 | 17.6 | 3 | 18 | 18.6 | 0 | 0 | 0 | 0 | 17 | 10.2 | 7.6 | 2.4 | 12.1 | 22.2 | 148.8 | 5/5 | 146 |
| 빌드 맞춤 보상 선택 | 17.6 | 3 | 18 | 18.2 | 0.2 | 0 | 0.4 | 0 | 16.6 | 10 | 8.7 | 2.9 | 12 | 23.6 | 170.6 | 5/5 | 174.6 |

## 보스 관문 결과(전략 × 시드)

| 전략 | 시드 | 보스 | 단계 | 결과 | 초 | 남은 체력 | 보스 남은/최대 | 받은 피해 | Lv | 재도전 | 패턴(시작) |
|---|---|---|---|---|---|---|---|---|---|---|---|
| 점차 위험 지역으로 | 1 | 가시갈기 | 1 | won | 31 | 100 | 0/2400 | 0 | 7 | 0 | dash 4, howl 1, sweep 1 |
| 점차 위험 지역으로 | 1 | 봉인 수호자 | 2 | won | 32 | 100 | -8/5000 | 0 | 12 | 0 | shock 7, sweep 2 |
| 점차 위험 지역으로 | 1 | 예언을 먹는 자 | 3 | won | 38 | 120 | -9/7000 | 0 | 18 | 0 | lanes 3, wide 2, mark 2, summon 1 |
| 점차 위험 지역으로 | 2 | 가시갈기 | 1 | won | 32 | 100 | -47/2400 | 0 | 7 | 0 | dash 1, howl 2, sweep 6 |
| 점차 위험 지역으로 | 2 | 봉인 수호자 | 2 | won | 43 | 100 | -6/5000 | 0 | 12 | 0 | shock 6, sweep 6 |
| 점차 위험 지역으로 | 2 | 예언을 먹는 자 | 3 | won | 46 | 100 | -10/7000 | 0 | 19 | 0 | lanes 3, summon 2, wide 2, mark 2 |
| 점차 위험 지역으로 | 3 | 가시갈기 | 1 | won | 38 | 100 | -2/2400 | 0 | 7 | 0 | dash 1, howl 2, sweep 7 |
| 점차 위험 지역으로 | 3 | 봉인 수호자 | 2 | won | 57 | 102 | -1/5000 | 18 | 12 | 0 | shock 7, sweep 8 |
| 점차 위험 지역으로 | 3 | 예언을 먹는 자 | 3 | won | 63 | 145 | -8/7000 | 0 | 18 | 0 | lanes 3, summon 1, mark 7, wide 2 |
| 점차 위험 지역으로 | 4 | 가시갈기 | 1 | won | 43 | 100 | -3/2400 | 0 | 7 | 0 | dash 6, howl 2, sweep 2 |
| 점차 위험 지역으로 | 4 | 봉인 수호자 | 2 | won | 72 | 82 | -7/5000 | 18 | 12 | 0 | shock 10, sweep 9 |
| 점차 위험 지역으로 | 4 | 예언을 먹는 자 | 3 | won | 38 | 100 | -10/7000 | 0 | 18 | 0 | lanes 3, mark 3, wide 1 |
| 점차 위험 지역으로 | 5 | 가시갈기 | 1 | won | 47 | 100 | -4/2400 | 5 | 7 | 0 | dash 6, howl 2, sweep 3 |
| 점차 위험 지역으로 | 5 | 봉인 수호자 | 2 | won | 66 | 100 | -12/5000 | 0 | 14 | 0 | shock 11, sweep 7 |
| 점차 위험 지역으로 | 5 | 예언을 먹는 자 | 3 | won | 63 | 100 | -13/7000 | 0 | 20 | 0 | lanes 4, wide 5, mark 2, summon 1 |
| 위험 임무 우선 | 1 | 가시갈기 | 1 | won | 36 | 100 | -15/2400 | 0 | 7 | 0 | dash 4, howl 2, sweep 3 |
| 위험 임무 우선 | 1 | 봉인 수호자 | 2 | won | 41 | 100 | -4/5000 | 0 | 11 | 0 | shock 7, sweep 4 |
| 위험 임무 우선 | 1 | 예언을 먹는 자 | 3 | won | 49 | 120 | -49/7000 | 0 | 18 | 0 | lanes 4, summon 2, wide 2, mark 3 |
| 위험 임무 우선 | 2 | 가시갈기 | 1 | won | 33 | 100 | -21/2400 | 0 | 7 | 0 | dash 1, howl 2, sweep 6 |
| 위험 임무 우선 | 2 | 봉인 수호자 | 2 | won | 40 | 100 | -7/5000 | 0 | 11 | 0 | shock 4, sweep 6 |
| 위험 임무 우선 | 2 | 예언을 먹는 자 | 3 | won | 39 | 100 | -31/7000 | 0 | 17 | 0 | lanes 3, wide 4, summon 1 |
| 위험 임무 우선 | 3 | 가시갈기 | 1 | won | 39 | 100 | -51/2400 | 0 | 7 | 0 | dash 1, howl 2, sweep 8 |
| 위험 임무 우선 | 3 | 봉인 수호자 | 2 | won | 46 | 120 | -70/5000 | 0 | 12 | 0 | shock 6, sweep 6 |
| 위험 임무 우선 | 3 | 예언을 먹는 자 | 3 | won | 51 | 120 | -15/7000 | 0 | 17 | 0 | lanes 4, mark 3, summon 2, wide 2 |
| 위험 임무 우선 | 4 | 가시갈기 | 1 | won | 25 | 100 | -9/2400 | 0 | 7 | 0 | dash 3, howl 1, sweep 2 |
| 위험 임무 우선 | 4 | 봉인 수호자 | 2 | won | 52 | 82 | 0/5000 | 18 | 11 | 0 | shock 7, sweep 6 |
| 위험 임무 우선 | 4 | 예언을 먹는 자 | 3 | won | 32 | 100 | -1/7000 | 0 | 17 | 0 | lanes 2, wide 3 |
| 위험 임무 우선 | 5 | 가시갈기 | 1 | won | 59 | 100 | -12/2400 | 0 | 7 | 0 | dash 6, howl 3, sweep 5 |
| 위험 임무 우선 | 5 | 봉인 수호자 | 2 | won | 102 | 100 | -12/5000 | 3 | 11 | 0 | shock 17, sweep 11 |
| 위험 임무 우선 | 5 | 예언을 먹는 자 | 3 | won | 86 | 100 | -9/7000 | 0 | 19 | 0 | lanes 8, mark 4, summon 3, wide 4 |
| 빌드 맞춤 보상 선택 | 1 | 가시갈기 | 1 | won | 63 | 100 | -3/2400 | 0 | 7 | 0 | dash 4, howl 3, sweep 10 |
| 빌드 맞춤 보상 선택 | 1 | 봉인 수호자 | 2 | won | 58 | 100 | -13/5000 | 0 | 11 | 0 | shock 8, sweep 6 |
| 빌드 맞춤 보상 선택 | 1 | 예언을 먹는 자 | 3 | won | 72 | 120 | -2/7000 | 0 | 18 | 0 | lanes 3, wide 6, summon 2, mark 3 |
| 빌드 맞춤 보상 선택 | 2 | 가시갈기 | 1 | won | 52 | 63 | -13/2400 | 52 | 6 | 0 | dash 4, howl 2, sweep 7 |
| 빌드 맞춤 보상 선택 | 2 | 봉인 수호자 | 2 | won | 92 | 120 | -5/5000 | 0 | 11 | 0 | shock 11, sweep 13 |
| 빌드 맞춤 보상 선택 | 2 | 예언을 먹는 자 | 3 | won | 65 | 100 | -17/7000 | 0 | 17 | 0 | lanes 2, mark 5, summon 2, wide 4 |
| 빌드 맞춤 보상 선택 | 3 | 가시갈기 | 1 | won | 58 | 100 | -16/2400 | 0 | 6 | 0 | dash 6, howl 3, sweep 6 |
| 빌드 맞춤 보상 선택 | 3 | 봉인 수호자 | 2 | won | 82 | 120 | -11/5000 | 36 | 11 | 0 | shock 11, sweep 10 |
| 빌드 맞춤 보상 선택 | 3 | 예언을 먹는 자 | 3 | won | 117 | 120 | -3/7000 | 0 | 17 | 0 | lanes 7, summon 3, mark 10, wide 4 |
| 빌드 맞춤 보상 선택 | 4 | 가시갈기 | 1 | won | 24 | 100 | -2/2400 | 0 | 7 | 0 | dash 4, howl 1, sweep 1 |
| 빌드 맞춤 보상 선택 | 4 | 봉인 수호자 | 2 | won | 40 | 120 | -6/5000 | 0 | 11 | 0 | shock 6, sweep 4 |
| 빌드 맞춤 보상 선택 | 4 | 예언을 먹는 자 | 3 | won | 31 | 120 | -3/7000 | 0 | 17 | 0 | lanes 4, mark 1, wide 1 |
| 빌드 맞춤 보상 선택 | 5 | 가시갈기 | 1 | won | 30 | 100 | -1/2400 | 0 | 7 | 0 | dash 1, howl 2, sweep 5 |
| 빌드 맞춤 보상 선택 | 5 | 봉인 수호자 | 2 | won | 46 | 120 | -11/5000 | 18 | 11 | 0 | shock 7, sweep 6 |
| 빌드 맞춤 보상 선택 | 5 | 예언을 먹는 자 | 3 | won | 43 | 100 | -2/7000 | 0 | 19 | 0 | lanes 3, summon 1, mark 3, wide 2 |

## 6일차 빌드 예시(곡선 v06, 시드 1)

- 점차 위험 지역으로: blades3[dual+serrated] ember2[scatter+trail] hammer2[aftershock+shockwave] | 공통 frost1,burn1,flare1 | E gust1 | 패시브 -
- 위험 임무 우선: blades2[launch+dual] ember1[reignite+trail] hammer3[aftershock+shockwave] | 공통 flare1,reach2,saving1 | E gust2 | 패시브 mastery1
- 빌드 맞춤 보상 선택: blades3[launch+dual] spear1[split+brand] frost2[shatter+ground] | 공통 burn1,reach1,ember1 | E bladestorm1 | 패시브 haste1

## 경제(v0.8): 하루 획득 금화(정산 기준, 사용분 포함)·구매·강화·교체·예약·패배로 잃은 날

| 전략 | 시드 | 하루 금화(평균) | 일별 | 총 사용 | 장비 | 새 기술 | 강화 | 예약 소비 | 심층 보상 | 패배로 잃은 날 | 최종 금화 |
|---|---|---|---|---|---|---|---|---|---|---|---|
| 점차 위험 지역으로 | 1 | 203 | 196/204/227/129/160/299 | 1170 | 원정대의 갑옷,개척자의 창,시간의 방패,생명력의 외투 | 1 | 3 | 0 | - | 0 | 105 |
| 점차 위험 지역으로 | 2 | 217 | 243/211/228/164/146/310 | 1290 | 철벽 방패,수호자의 갑옷,시전자의 방패,시간술사의 지팡이,시간의 방패 | 1 | 3 | 0 | - | 0 | 72 |
