PASS | A1 새 회차 → 시작 무기 선택 화면(검·관통창·회전 칼날) | 
PASS | A2 검증 메뉴: 다른 시작 후보 표시 | 
PASS | A3 회전 칼날로 시작, Lv1, 빌드 패널에 무기 1/3 | 
PASS | B1 지도에 지역 성장 태그 표시 | 
PASS | B2 처치 즉시 경험치 → 전투 중 레벨업 카드(3장) | Lv2
PASS | B3 선택 중 전투·시간 정지, Q/E/Space 누적 없음 | 
PASS | B4 새로고침 후 미처리 레벨업과 같은 제시 유지(재굴림 없음) | ["weapon_new:ember","skill_new:gravity","weapon_mod:blades:dual"]
PASS | B5 전투 중 새로고침: 출격 비용 지불·거점 복구 | 
PASS | B6 거점에서 미처리 레벨업 선택 가능 | 
PASS | B7 선택 적용·저장 | 
PASS | C1 여러 번 레벨업 선택 후 전투 재개, 새 무기가 전투에 즉시 추가 | 선택 4회, 무기 blades:1,frost:1,ember:1, E bladestorm
PASS | C2 조우 종료 → 보상 화면(지역 경험치 표시, 증강 3택 없음) | 
PASS | C3 다음 행동 화면 | 
PASS | C4 귀환 후 성장 유지 | 
PASS | D1 실제 E 키로 수동 기술 발동 | 
PASS | D2 정지 중 E 입력은 재개 후 발동하지 않음 | 
PASS | E1 v2 저장 → 이행 화면(공통 5개 중 3개 선택) | 
PASS | E2 이행 후 거점, 관통창·검·회전 칼날 3무기, 공통 3개 | 
PASS | F1 v3 시나리오 파라미터로 3무기·E·공통·패시브 구성 | 
PASS | 오류 없음 | 
